# region irank jrank data_tot data_tx data_rx nmsg_tx nmsg_rx
ipm_global 33 4 4055040 4055040 0 99 0
ipm_global 33 12 88489984 42622976 45867008 946 1045
ipm_global 33 17 99712688 49856344 49856344 498 498
ipm_global 33 25 665040532 633382948 31657584 34972 1917
ipm_global 33 32 3816822208 3236191408 580630800 36096 31734
ipm_global 33 33 9628128 4814064 4814064 498 498
ipm_global 34 2 1275904 637952 637952 668 668
ipm_global 34 4 4055040 4055040 0 99 0
ipm_global 34 18 96052896 48026448 48026448 498 498
ipm_global 34 20 89571328 43704320 45867008 979 1045
ipm_global 34 26 666211988 633382948 32829040 34972 1961
ipm_global 34 32 7562480 3781240 3781240 1102 1102
ipm_global 34 33 3812029696 3233537752 578491944 35968 31606
ipm_global 34 34 9297856 4648928 4648928 498 498
ipm_global 35 3 1275904 637952 637952 668 668
ipm_global 35 4 4055040 4055040 0 99 0
ipm_global 35 19 97391408 48695704 48695704 498 498
ipm_global 35 27 667383444 633382948 34000496 34972 2005
ipm_global 35 28 90652672 44785664 45867008 1012 1045
ipm_global 35 32 574455232 287227616 287227616 996 996
ipm_global 35 33 21881632 10940816 10940816 1102 1102
ipm_global 35 34 3811946564 3233405436 578541128 36096 31734
ipm_global 35 35 9370208 4685104 4685104 498 498
ipm_global 36 0 1048576 524288 524288 64 64
ipm_global 36 4 4282368 4168704 113664 703 604
ipm_global 36 20 99712688 49856344 49856344 498 498
ipm_global 36 28 668464788 633382948 35081840 34972 2038
ipm_global 36 32 240171424 120085712 120085712 1124 1124
ipm_global 36 33 9628128 4814064 4814064 498 498
ipm_global 36 34 9462992 4731496 4731496 498 498
ipm_global 36 35 3251241036 2953234172 298006864 35470 31108
ipm_global 36 36 9628128 4814064 4814064 498 498
ipm_global 37 1 1048576 524288 524288 64 64
ipm_global 37 4 5046272 5046272 0 121 0
ipm_global 37 5 227328 113664 113664 604 604
ipm_global 37 21 102108848 51054424 51054424 498 498
ipm_global 37 29 668554900 633382948 35171952 34972 2049
ipm_global 37 32 8189712 4094856 4094856 498 498
ipm_global 37 33 248201168 124100584 124100584 1124 1124
ipm_global 37 34 10247280 5123640 5123640 498 498
ipm_global 37 35 10319632 5159816 5159816 498 498
